service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,
2217,1,1,1,1,1,1,1,20150223,20150614,
683,1,1,1,1,1,1,1,20150223,20150614,
2216,1,1,1,1,1,1,1,20150223,20150614,
2214,1,1,1,1,1,1,1,20150223,20150614,
1447,1,1,1,1,1,1,1,20150223,20150614,
2213,1,1,1,1,1,0,0,20150223,20150614,
678,0,0,1,0,0,0,0,20150223,20150614,
1445,1,1,1,1,1,1,1,20150223,20150614,
673,1,1,1,1,1,1,1,20150223,20150614,
672,1,1,1,1,1,1,1,20150223,20150614,
670,1,1,1,1,1,1,1,20150223,20150614,
669,1,1,1,1,1,1,1,20150223,20150614,
2202,1,1,1,1,1,1,1,20150223,20150614,
1435,1,1,1,1,1,1,1,20150223,20150614,
664,1,1,1,1,1,1,1,20150223,20150614,
1431,1,1,1,1,1,1,1,20150223,20150614,
2197,1,1,1,1,1,1,1,20150223,20150614,
2196,1,1,1,1,1,1,1,20150223,20150614,
1429,1,1,1,1,1,1,1,20150223,20150614,
2195,1,1,1,1,1,1,1,20150223,20150614,
2194,1,1,1,1,1,1,1,20150223,20150614,
660,1,1,1,1,1,1,1,20150223,20150614,
659,1,1,1,1,1,1,1,20150223,20150614,
2192,1,1,1,1,1,1,1,20150223,20150614,
658,1,1,1,1,1,1,1,20150223,20150614,
2187,1,1,1,1,1,1,1,20150223,20150614,
2185,1,1,1,1,1,1,1,20150223,20150614,
2183,0,0,0,0,0,0,1,20150223,20150614,
1416,1,1,1,1,1,1,1,20150223,20150614,
648,0,1,0,0,0,0,0,20150223,20150614,
2181,1,1,1,1,1,1,1,20150223,20150614,
646,1,1,1,1,1,1,1,20150223,20150614,
2179,1,1,1,1,1,1,1,20150223,20150614,
642,1,1,1,1,1,1,1,20150223,20150614,
2175,1,1,1,1,1,1,1,20150223,20150614,
1406,1,1,1,1,1,1,1,20150223,20150614,
1401,1,1,1,1,1,1,1,20150223,20150614,
630,1,1,1,1,1,1,1,20150223,20150614,
2161,1,1,1,1,1,1,1,20150223,20150614,
1394,1,1,1,1,1,1,1,20150223,20150614,
2160,1,1,1,1,1,1,1,20150223,20150614,
625,1,1,1,1,1,1,1,20150223,20150614,
